"TimerPES_First.Click","TimerPES_Last.Click","TimerPES_Page.Submit","TimerPES_Click.Count","PES_1","PES_2","PES_3","PES_4","PES_5","PES_6","PES_7","PES_8","PES_9","PES_10","PES_11","PES_12","PES_13","PES_14","PES_15","PES_16","PES_17","PES_18","Gender","Faculty","Program","Year.Program","First.Semester","PA_profile"
12.696,166.715,266.145,19,3,2,4,2,4,4,4,1,2,3,3,2,3,1,3,3,2,5,"Female","Telfer School of Management","B.com avec spécialisation en comptabilité","1st year","Yes","Light PA"
82.806,116.622,250.786,29,3,4,3,2,3,2,2,5,3,2,2,1,4,5,4,4,2,3,"Male","Faculty of Science","biomedical science","2nd year","No","Light PA"
14.093,62.47,843.5,27,4,3,4,2,3,1,2,1,4,4,3,2,4,1,2,4,2,2,"Female","Telfer School of Management","Management","1st year","Yes","Inactive"
13.495,178.495,54.109,27,4,3,4,2,4,4,4,2,4,1,2,4,5,4,4,4,4,5,"Female","Faculty of Science","Health Science","1st year","Yes","Vigorous PA"
9.882,111.927,37.295,21,3,4,5,3,4,1,3,5,2,2,3,2,4,1,3,3,2,4,"Female","Faculty of Health Sciences","Biomedical","1st year","Yes","Light PA"
8.04,106.826,71.082,22,3,2,4,4,4,1,2,2,3,2,2,1,3,3,2,3,1,5,"Female","Faculty of Health Sciences","Health Science","4th year","Yes","Light PA"
0.911,83.48,71.511,21,3,3,3,3,4,4,3,2,2,1,3,4,4,2,4,4,2,4,"Male","Faculty of Science","psych","2nd year","Yes","Vigorous PA"
2.044,80.647,83.252,19,5,2,2,4,4,2,4,3,4,3,3,4,4,3,4,4,4,3,"Female","Faculty of Health Sciences","Health Science","1st year","No","Vigorous PA"
29.583,42.257,108.211,28,4,2,3,2,5,4,4,3,2,2,3,4,4,3,3,4,4,3,"Female","Faculty of Science","interdisciplinary health sciences","2nd year","Yes","Inactive"
4.869,1327.55,20.368,30,4,1,4,2,4,2,5,3,4,4,4,3,3,4,3,2,3,5,"Female","Faculty of Social Sciences","Psychology BSc.","2nd year","No","Inactive"
9.586,85.818,88.939,19,4,4,5,1,3,4,3,2,3,3,1,3,4,2,4,4,1,3,"Female","Faculty of Health Sciences","Biomedical Science","2nd year","Yes","Vigorous PA"
7.851,147.615,285.993,27,3,3,4,2,5,2,4,2,4,1,3,1,5,3,4,3,2,2,"Male","Faculty of Health Sciences","Business Technology Management","1st year","Yes","Inactive"
9.003,132.302,121.016,31,4,3,4,3,4,1,4,2,4,2,2,3,3,3,2,1,5,3,"Female","Faculty of Science","bachelors of health sciences","2nd year","Yes","Vigorous PA"
6.509,73.443,57.604,23,2,2,4,5,4,1,5,1,3,2,4,2,4,2,3,4,1,3,"Female","Faculty of Social Sciences","accounting","1st year","Yes","Inactive"
9.223,83.48,78.809,22,4,4,3,1,3,3,2,1,4,3,4,2,4,2,4,2,1,4,"Female","Faculty of Social Sciences","HK","1st year","Yes","Moderate PA"
0.669,344.668,122.727,29,4,2,5,2,3,3,1,1,4,1,2,3,3,2,4,3,2,4,"Male","Faculty of Social Sciences","poli sci","1st year","No","Moderate PA"
18.074,90.145,13.96,20,1,4,3,2,5,2,3,2,1,4,4,3,3,2,2,3,2,3,"Female","Telfer School of Management","Political Sciences","1st year","Yes","Vigorous PA"
12.248,67.529,89.94,43,3,1,4,1,4,2,5,2,3,2,2,4,2,4,3,3,2,4,"Female","Telfer School of Management","BScN","2nd year","Yes","Moderate PA"
5.572,156.755,66.576,43,5,2,4,2,4,2,4,4,3,3,3,3,3,1,4,4,4,2,"Female","Faculty of Science","Health Sciences","3rd year","Yes","Light PA"
16.727,159.672,197.725,24,4,2,4,1,4,2,3,3,2,4,3,3,4,2,4,3,1,5,"Male","Faculty of Science","Accounting","3rd year","No","Light PA"
47.978,97.674,111.542,19,2,3,4,5,4,2,4,3,4,1,2,2,4,3,2,3,2,4,"Female","Faculty of Social Sciences","Management","3rd year","Yes","Inactive"
21.708,57.939,29.74,20,4,2,2,1,3,2,3,2,2,1,3,1,4,2,5,3,3,3,"Female","Faculty of Science","Biomed","1st year","Yes","Light PA"
39.301,195.445,95.371,19,5,2,3,2,4,3,4,2,3,3,4,2,2,2,5,4,3,3,"Male","Faculty of Health Sciences","psychology / philosophy","2nd year","No","Moderate PA"
9.666,444.48,85.087,18,4,1,5,1,4,2,3,1,4,2,1,1,4,3,4,4,4,2,"Male","Telfer School of Management","biomed sciences","1st year","Yes","Inactive"
11.818,82.803,134.968,19,3,5,4,3,3,5,4,2,1,1,2,5,4,2,5,3,2,4,"Female","Telfer School of Management","finance","1st year","No","Inactive"
5.392,594.23,79.327,20,2,4,3,1,3,3,3,2,5,1,4,2,4,1,3,1,2,5,"Female","Faculty of Science","Nursing","1st year","No","Light PA"
40.558,81.683,72.749,24,3,2,2,3,2,3,2,4,2,1,4,3,3,2,4,2,2,4,"Female","Faculty of Social Sciences","Psychology Ba","3rd year","Yes","Inactive"
20.789,159.672,120.887,20,2,3,3,3,4,3,3,3,3,2,2,2,3,3,1,4,3,4,"Female","Faculty of Science","Accounting","4th year","Yes","Vigorous PA"
12.065,21.43,122.246,43,4,3,4,4,4,3,2,2,3,2,2,3,2,2,3,3,4,2,"Female","Faculty of Health Sciences","Psychology","1st year","No","Light PA"
10.008,125.553,105.363,21,1,2,4,3,1,3,2,1,2,2,3,2,4,2,4,3,2,1,"Male","Faculty of Science","Honours BCom","1st year","Yes","Inactive"
1.048,80.371,41.093,19,3,2,3,3,3,2,3,2,3,2,3,2,4,2,4,3,2,1,"Female","Faculty of Science","interdisciplinary health sciences","2nd year","Yes","Light PA"
6.581,61.711,61.605,26,4,2,5,3,4,2,4,2,3,2,4,1,4,1,5,1,1,2,"Female","Faculty of Science","Economics","2nd year","No","Inactive"
22.202,42.928,43.8,27,3,2,4,5,4,3,5,2,5,3,3,2,1,1,2,4,1,5,"Female","Telfer School of Management","Bachelors Honours of Health Science","1st year","Yes","Inactive"
9.223,148.119,13.223,22,5,2,4,1,1,2,4,2,4,3,2,1,2,1,3,4,4,5,"Female","Faculty of Arts","finance","2nd year","No","Vigorous PA"
0.501,13.605,163.363,25,4,2,2,1,5,3,4,4,3,4,3,1,4,5,3,2,4,2,"Male","Faculty of Science","psychology","1st year","Yes","Inactive"
22.331,108.619,103.886,21,2,2,3,2,4,3,2,4,2,1,2,1,2,2,4,3,1,4,"Female","Faculty of Arts","Food and Nutrition Science","1st year","Yes","Inactive"
28.271,134.163,61.485,25,4,3,5,4,4,1,3,3,3,5,4,4,3,3,3,4,1,4,"Female","Faculty of Social Sciences","Biomedical","1st year","No","Moderate PA"
19.942,278.645,134.125,43,5,1,3,2,4,2,2,2,3,3,3,1,2,2,2,4,2,3,"Male","Faculty of Arts","Biochemistry","1st year","No","Moderate PA"
17.668,126.802,1013.663,22,3,4,3,2,5,2,3,1,3,1,3,2,3,3,3,5,4,5,"Female","Faculty of Health Sciences","Biomedical Science","2nd year","Yes","Vigorous PA"
7.759,67.431,66.691,18,4,2,2,4,4,3,5,4,5,2,1,3,3,1,4,4,2,3,"Female","Faculty of Science","Health Sciences","2nd year","Yes","Moderate PA"
19.496,284.302,88.676,22,2,1,5,2,5,4,5,3,4,1,3,1,1,2,3,3,2,4,"Female","Faculty of Health Sciences","Political Sciences","1st year","No","Light PA"
4.559,104.048,61.605,19,3,5,3,3,5,2,2,2,2,4,4,2,4,2,4,2,4,4,"Male","Faculty of Science","Biomedical Science","4th year","Yes","Moderate PA"
0.911,76.774,57.673,19,3,4,5,2,5,2,4,4,2,1,4,2,4,1,2,3,2,3,"Male","Faculty of Social Sciences","Nursing","2nd year","Yes","Light PA"
11.562,168.273,73.927,23,4,2,3,2,4,2,2,4,3,3,3,2,4,4,4,3,1,4,"Female","Faculty of Health Sciences","Psychology","1st year","Yes","Moderate PA"
9.217,96.677,134.968,27,4,3,4,3,4,4,4,5,3,2,3,4,4,4,3,3,4,4,"Male","Faculty of Science","psychology","1st year","Yes","Moderate PA"
18.971,270.249,37.295,24,3,2,4,4,3,2,4,2,5,1,1,2,5,2,4,3,3,3,"Female","Telfer School of Management","health science","2nd year","Yes","Moderate PA"
6.007,383.563,79.327,23,5,4,3,2,4,4,4,2,3,2,4,1,4,2,3,3,1,4,"Male","Telfer School of Management","Health Sciences","1st year","No","Light PA"
9.364,96.629,85.128,19,5,2,2,4,4,2,3,1,4,2,3,3,4,4,3,3,2,4,"Female","Faculty of Science","BA Psychology","2nd year","Yes","Light PA"
6.992,174.084,88.324,18,3,3,5,2,2,2,3,1,4,3,3,4,4,1,3,2,2,4,"Female","Faculty of Social Sciences","Nursing","2nd year","No","Moderate PA"
4.426,21.43,128.592,22,2,2,2,3,1,4,1,1,4,2,4,1,2,1,3,2,3,5,"Female","Telfer School of Management","Computer Science","4th year","Yes","Moderate PA"
2.075,159.253,120.437,22,1,2,4,2,5,2,4,2,3,3,2,1,3,2,4,4,3,2,"Female","Faculty of Social Sciences","Computer Science","1st year","Yes","Moderate PA"
9.003,156.489,46.883,20,5,1,4,2,5,1,3,3,2,3,4,1,3,1,1,4,1,4,"Female","Telfer School of Management","Biomed","1st year","No","Vigorous PA"
394.503,138.205,65.501,26,2,3,3,1,5,2,4,3,2,1,4,3,2,1,4,5,3,3,"Female","Telfer School of Management","Nursing","2nd year","No","Light PA"
22.541,65.754,122.246,20,5,2,3,2,3,1,4,4,2,3,1,4,5,2,3,3,2,2,"Female","Telfer School of Management","Finance","1st year","Yes","Moderate PA"
4.657,492.1,149.831,20,4,1,4,4,4,1,3,1,2,2,3,3,4,2,5,4,4,5,"Female","Faculty of Social Sciences","Honours Business Technology Management","2nd year","Yes","Light PA"
8.76,30.202,115.304,27,3,2,2,2,2,4,3,4,3,2,2,2,1,2,4,4,1,4,"Female","Faculty of Social Sciences","Psychology","1st year","No","Inactive"
6.621,118.68,331.765,31,2,4,2,3,4,1,3,1,2,1,2,2,4,3,4,4,3,4,"Female","Faculty of Science","Biomedical Science","2nd year","Yes","Moderate PA"
2.615,113.775,331.765,25,4,3,3,3,4,2,1,2,1,4,3,3,4,2,2,3,2,3,"Female","Faculty of Science","social sciences","1st year","Yes","Moderate PA"
13.035,77.195,225.409,21,3,2,4,4,2,2,2,2,3,3,2,3,4,2,1,4,2,5,"Male","Faculty of Health Sciences","health science","1st year","Yes","Light PA"
6.552,78.402,31.451,20,3,1,2,4,4,2,4,4,3,3,2,2,4,2,5,4,2,5,"Female","Faculty of Social Sciences","Biomedical sciences","2nd year","Yes","Light PA"
42.861,90.076,111.74,23,4,2,2,2,4,4,3,1,2,3,2,1,2,2,4,3,2,5,"Female","Faculty of Social Sciences","Health Science","5th year","Yes","Inactive"
13.148,112.865,77.766,26,4,3,2,4,5,1,3,2,5,3,3,2,1,4,4,4,2,2,"Female","Telfer School of Management","Nursing","1st year","Yes","Light PA"
36.756,78.129,16.378,37,5,2,4,1,3,2,3,4,3,1,3,2,1,3,4,3,3,5,"Male","Telfer School of Management","Psychology","2nd year","Yes","Moderate PA"
22.986,784.402,67.575,22,2,2,4,2,4,3,4,2,1,3,5,1,1,4,4,3,1,5,"Male","Faculty of Social Sciences","Computer Science","2nd year","Yes","Inactive"
19.563,211.801,113.36,38,5,2,3,1,2,1,2,4,3,3,4,3,3,4,5,2,2,4,"Female","Faculty of Health Sciences","Psychology","4th year","Yes","Light PA"
0.838,241.411,39.45,20,2,1,5,1,3,2,1,1,3,2,3,1,4,4,4,4,3,5,"Female","Faculty of Egineering","CRM and PSY","1st year","No","Moderate PA"
0.812,71.192,55.356,32,4,3,4,1,4,2,5,4,1,2,4,3,4,2,2,3,4,5,"Female","Faculty of Health Sciences","criminology","1st year","No","Inactive"
37.37,92.236,70.322,25,2,4,4,1,4,1,4,4,4,2,4,3,3,4,1,4,4,4,"Female","Telfer School of Management","Accounting","1st year","No","Light PA"
0.43,78.608,114.52,22,3,3,2,4,3,5,2,1,2,2,3,4,2,2,3,3,1,4,"Female","Faculty of Health Sciences","accounting","1st year","No","Moderate PA"
19.052,65.243,68.756,19,2,2,4,5,3,2,3,2,2,1,3,1,4,4,3,3,2,4,"Female","Faculty of Arts","sociology and communications","1st year","No","Light PA"
342.236,40.101,109.893,19,5,2,4,3,3,4,3,4,4,2,4,1,1,2,4,4,3,3,"Female","Telfer School of Management","Psychology","3rd year","Yes","Vigorous PA"
8.103,71.12,117.65,21,4,3,4,4,3,2,3,4,3,3,5,3,4,3,4,4,3,4,"Male","Telfer School of Management","psychology and linguistics","1st year","No","Inactive"
11.177,495.654,118.161,21,1,1,4,1,4,3,4,1,2,1,1,1,2,2,3,3,2,4,"Male","Telfer School of Management","Political Science","1st year","Yes","Light PA"
8.941,176.895,149.831,34,5,1,4,2,5,2,3,3,2,1,3,1,4,3,1,4,1,4,"Male","Faculty of Health Sciences","health science","3rd year","Yes","Light PA"
5.939,17.601,104.473,19,4,3,4,2,4,4,2,2,3,1,3,3,2,4,4,1,2,4,"Female","Faculty of Science","Biomedical Science","2nd year","No","Vigorous PA"
10.655,64.074,89.94,18,2,3,3,1,4,2,2,4,3,3,2,1,5,5,4,1,2,4,"Female","Telfer School of Management","CRM and PSY","2nd year","Yes","Vigorous PA"
13.339,105.256,71.279,19,4,2,2,5,5,1,2,4,4,3,4,3,2,1,5,3,4,4,"Female","Faculty of Arts","Interdisciplinary Studies","1st year","No","Light PA"
3.024,116.992,120.79,18,5,2,4,3,4,2,5,3,4,2,3,5,3,2,4,2,5,3,"Female","Telfer School of Management","Software Engineering","2nd year","Yes","Vigorous PA"
11.922,127.433,303.849,20,4,2,3,2,4,3,4,2,3,3,1,2,4,1,3,2,2,3,"Female","Faculty of Health Sciences","Biomedical Science","5th year","Yes","Inactive"
41.92,88.303,47.11,50,2,4,4,3,3,2,4,2,1,2,3,3,4,3,3,5,1,2,"Male","Faculty of Science","Criminology","2nd year","No","Inactive"
18.208,65.754,80.968,22,2,3,3,2,3,2,4,3,2,3,2,1,2,3,3,3,3,5,"Female","Faculty of Science","Management","1st year","No","Light PA"
9.025,79.82,100.916,18,2,2,1,2,5,2,3,3,5,3,4,2,4,1,4,4,4,4,"Male","Faculty of Arts","Psychology","1st year","Yes","Vigorous PA"
18.767,13.649,493.285,28,3,4,3,4,5,4,4,3,2,1,2,1,2,2,5,4,1,5,"Female","Faculty of Science","Psychology and Linguistics","1st year","Yes","Light PA"
6.581,78.406,104.583,39,4,2,2,3,4,3,4,2,3,3,4,2,3,2,4,3,5,5,"Female","Faculty of Social Sciences","Nursing","1st year","Yes","Moderate PA"
0.819,60.4,74.845,40,3,1,4,4,2,1,4,2,3,4,4,2,4,3,3,4,3,4,"Male","Faculty of Social Sciences","finance","1st year","No","Inactive"
1.495,95.963,118.247,19,5,3,5,3,3,2,4,4,1,1,3,3,2,2,1,3,3,5,"Female","Telfer School of Management","Food and Nutrition Science","1st year","Yes","Moderate PA"
5.29,71.932,88.324,24,5,3,3,2,4,2,1,1,4,3,4,4,5,1,4,5,1,4,"Male","Telfer School of Management","interdisciplinary Studies","1st year","No","Light PA"
30.148,14.25,48.674,20,2,2,4,2,2,2,4,3,2,2,1,1,2,2,2,5,2,5,"Female","Faculty of Social Sciences","Science","1st year","No","Moderate PA"
8.386,74.768,68.951,21,3,2,4,3,3,1,3,2,3,4,5,1,3,3,2,2,1,4,"Female","Faculty of Health Sciences","service social","2nd year","Yes","Vigorous PA"
14.56,99.271,132.276,18,4,1,4,2,2,2,3,1,2,2,2,3,2,2,3,2,2,5,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Light PA"
4.456,187.165,135.46,18,2,2,4,1,4,3,4,1,3,2,3,1,3,4,3,3,1,4,"Male","Faculty of Science","BSC psychology","1st year","Yes","Moderate PA"
28.262,132.302,149.831,21,4,3,4,1,5,4,3,3,4,2,2,3,4,4,3,4,2,4,"Female","Faculty of Health Sciences","Bcom management","1st year","Yes","Inactive"
36.756,134.089,82.679,18,4,2,3,4,3,4,3,1,4,2,1,2,1,2,1,5,2,4,"Male","Faculty of Science","Health Science","4th year","Yes","Inactive"
136.74,135.602,3008.147,24,2,4,5,1,3,4,3,2,4,1,3,3,5,2,4,4,3,4,"Male","Faculty of Social Sciences","Psychology","1st year","Yes","Moderate PA"
99.754,87.272,96.747,20,5,2,4,2,2,1,3,2,5,2,3,2,3,3,5,2,4,3,"Female","Faculty of Health Sciences","Biomedical science","1st year","Yes","Moderate PA"
30.304,270.249,75.001,34,4,1,5,3,2,1,3,4,5,3,3,1,4,1,4,4,4,2,"Female","Telfer School of Management","Biochemistry","2nd year","No","Light PA"
7.03,34.901,79.801,20,1,3,4,2,4,2,4,4,5,2,4,2,3,1,5,4,2,3,"Female","Faculty of Health Sciences","economics","1st year","No","Vigorous PA"
293.182,100.735,62.953,24,2,4,2,4,3,4,4,1,1,2,4,2,3,2,2,5,4,4,"Female","Faculty of Social Sciences","English","1st year","Yes","Light PA"
43.029,1899.38,52.218,32,2,3,4,1,4,2,2,1,1,2,4,2,3,1,3,3,4,2,"Male","Faculty of Science","Psychology","1st year","Yes","Light PA"
5.706,307.141,70.862,19,3,4,5,2,3,3,4,2,3,3,4,2,4,2,4,4,4,4,"Female","Faculty of Science","psychology","1st year","Yes","Moderate PA"
6.531,120.925,10.261,19,3,4,4,3,5,1,2,4,5,2,2,2,3,1,4,3,2,4,"Female","Faculty of Health Sciences","Major in Visual Arts","4th year","No","Light PA"
26.684,76.646,43.087,22,3,3,2,5,4,4,4,1,2,3,3,2,2,2,5,3,2,5,"Female","Faculty of Health Sciences","Nursing","2nd year","Yes","Light PA"
9.217,73.242,77.758,26,2,2,4,2,4,4,4,2,3,2,3,1,3,3,3,3,2,3,"Female","Faculty of Social Sciences","Health Sciences","1st year","Yes","Inactive"
11.329,142.8,112.511,20,2,5,3,3,5,4,4,3,4,1,2,3,5,3,2,3,3,5,"Male","Faculty of Science","Psychology","4th year","No","Light PA"
5.228,241.411,102.277,50,2,2,4,3,4,5,4,2,5,2,4,2,3,1,4,4,2,2,"Male","Telfer School of Management","English Literature","1st year","No","Light PA"
3.024,270.249,230.929,20,3,2,2,1,4,2,1,2,3,2,3,4,3,3,4,4,1,2,"Female","Faculty of Health Sciences","Economics and Political Science","1st year","Yes","Light PA"
10.061,58.792,116.93,20,4,3,4,4,3,4,3,3,2,2,5,4,3,4,5,3,5,4,"Female","Faculty of Science","Special Student","2nd year","No","Light PA"
19.563,89.009,95.832,19,4,2,4,2,5,1,4,4,2,3,3,2,3,5,2,5,2,4,"Female","Faculty of Health Sciences","Marketing","1st year","No","Moderate PA"
17.043,178.495,102.429,19,4,1,3,1,2,1,4,3,4,3,2,4,3,3,2,4,4,4,"Female","Faculty of Social Sciences","Biochemistry","2nd year","No","Inactive"
9.178,127.433,122.772,21,3,4,5,1,5,2,2,1,2,1,3,4,3,1,2,4,1,3,"Female","Faculty of Health Sciences","biomed","1st year","Yes","Light PA"
2138.886,172.972,141.52,19,2,4,5,2,2,1,4,2,3,2,4,3,2,2,4,3,3,3,"Male","Faculty of Science","Psychology","1st year","No","Moderate PA"
10.08,24.548,120.79,18,5,2,5,3,3,1,2,1,3,2,2,2,4,4,4,3,4,4,"Female","Faculty of Science","psychology","1st year","Yes","Vigorous PA"
6.596,103.505,88.324,25,1,4,2,4,4,4,4,2,2,4,4,2,3,2,3,3,3,1,"Male","Faculty of Egineering","Biomedical Science","1st year","Yes","Vigorous PA"
0.685,99.379,344.095,19,4,3,4,4,2,4,3,2,3,2,4,2,3,2,3,4,5,5,"Female","Faculty of Health Sciences","Health Science","1st year","No","Inactive"
60.054,16.75,109.611,28,4,2,4,4,5,2,4,4,4,4,1,4,2,3,5,2,2,3,"Female","Faculty of Health Sciences","Honours Health Sciences","3rd year","Yes","Light PA"
6.243,237.158,113.36,21,4,3,4,4,4,4,3,2,3,4,3,4,3,4,3,3,1,5,"Female","Faculty of Social Sciences","Nursing","2nd year","Yes","Moderate PA"
18.406,99.787,110.939,21,5,2,4,1,4,4,3,2,2,3,2,1,2,2,3,3,4,3,"Female","Faculty of Social Sciences","psychology","2nd year","Yes","Moderate PA"
3.895,134.089,78.968,23,5,2,3,1,4,4,3,3,2,1,3,2,3,3,4,4,1,4,"Male","Faculty of Health Sciences","Bachelor of Science in Nursing","2nd year","No","Moderate PA"
1.785,125.12,173.759,23,4,3,3,4,3,1,4,1,3,1,3,1,1,1,4,4,1,4,"Female","Faculty of Health Sciences","psych","1st year","Yes","Light PA"
4.426,166.891,291.901,18,2,2,2,2,4,4,5,1,4,5,4,4,4,2,2,4,1,3,"Female","Faculty of Arts","Biomedical science","3rd year","Yes","Vigorous PA"
17.471,1012.8,141.09,19,5,5,1,4,2,2,4,2,2,2,3,2,2,1,1,1,4,4,"Perfer not to disclose","Faculty of Social Sciences","management","1st year","Yes","Light PA"
18.801,19.316,43.8,59,2,4,4,5,3,2,5,2,5,1,3,3,3,3,4,2,3,3,"Female","Faculty of Social Sciences","Accounting","2nd year","No","Moderate PA"
11.724,270.173,78.985,19,4,2,3,1,4,1,3,1,2,2,1,1,5,2,5,4,4,2,"Male","Faculty of Health Sciences","Psychology","2nd year","No","Inactive"
7.658,121.872,96.744,25,3,2,4,3,5,2,2,2,4,2,3,5,5,2,3,1,3,2,"Female","Faculty of Social Sciences","Biomedical Science","2nd year","Yes","Moderate PA"
48.67,77.43,54.109,22,2,2,4,2,3,1,3,2,2,1,3,2,1,4,4,2,2,4,"Male","Faculty of Social Sciences","Biomedical Science","3rd year","No","Light PA"
24.626,156.755,68.275,36,2,2,3,5,4,2,5,3,3,2,2,2,4,3,3,5,1,4,"Female","Faculty of Social Sciences","Biomedical Science","3rd year","Yes","Vigorous PA"
2.615,237.158,84.173,26,2,1,5,3,5,3,4,2,3,1,1,2,1,2,4,5,2,4,"Male","Faculty of Social Sciences","Biomedical science","1st year","No","Moderate PA"
13.528,61.626,427.646,19,1,2,5,3,4,4,4,4,2,1,3,4,1,4,5,4,1,4,"Male","Faculty of Arts","psych","2nd year","No","Moderate PA"
8.277,158.31,106.848,26,4,2,5,3,4,4,3,1,2,1,2,4,3,3,3,5,2,2,"Female","Faculty of Social Sciences","Health Sci","1st year","Yes","Inactive"
13.035,72.252,44.798,18,5,2,3,5,5,2,4,4,3,2,1,1,4,1,3,1,1,4,"Female","Faculty of Health Sciences","Biochemistry","1st year","No","Light PA"
16.973,330.9,1264.756,26,1,2,4,3,3,1,3,2,5,1,2,2,1,2,4,5,3,4,"Perfer not to disclose","Faculty of Health Sciences","Health Sciences","1st year","No","Inactive"
10.061,29.041,174.152,34,5,4,3,3,4,4,3,4,3,2,1,2,3,2,5,3,3,3,"Female","Telfer School of Management","Psychology","2nd year","Yes","Vigorous PA"
6.531,109.17,62.349,27,2,4,5,4,1,3,2,2,4,1,5,1,2,2,3,4,2,4,"Male","Telfer School of Management","Biomedical Science","1st year","No","Light PA"
10.97,68.263,410.81,20,3,1,5,1,4,4,5,2,2,1,2,3,4,2,1,2,1,4,"Female","Faculty of Egineering","computer science","2nd year","No","Moderate PA"
33.446,77.817,71.015,34,4,4,2,1,5,1,4,4,3,2,3,2,4,1,3,3,4,4,"Male","Faculty of Science","social sciences","1st year","No","Inactive"
6.142,116.724,122.259,20,2,3,3,2,5,2,3,4,1,1,2,1,5,3,3,5,2,5,"Female","Faculty of Social Sciences","Honours BSc in Psychology","1st year","Yes","Moderate PA"
116.843,1828.851,91.182,23,4,2,3,2,1,2,5,2,1,4,3,3,3,1,3,2,1,4,"Female","Faculty of Science","Nursing","1st year","No","Moderate PA"
7.444,62.446,120.6,21,2,4,4,3,3,2,2,1,4,2,1,5,4,2,5,3,2,4,"Male","Faculty of Science","BioMed","1st year","Yes","Light PA"
12.237,102.458,146.936,18,5,3,4,1,3,4,3,4,4,1,1,1,3,4,3,3,2,4,"Female","Faculty of Health Sciences","Psychology","1st year","Yes","Moderate PA"
6.621,82.043,21.66,21,2,2,5,2,4,4,1,2,4,2,5,3,3,2,4,3,1,3,"Male","Faculty of Social Sciences","Biomedical Science","3rd year","No","Inactive"
15.849,176.895,58.79,20,4,2,4,3,4,4,2,3,3,1,3,2,4,1,4,4,4,5,"Female","Faculty of Arts","BA Psychology","1st year","Yes","Moderate PA"
1.149,102.554,308.237,21,4,2,5,2,4,1,3,2,3,3,1,1,4,3,3,3,1,4,"Perfer not to disclose","Telfer School of Management","nursing","1st year","No","Inactive"
28.271,1025.755,141.52,24,3,2,4,4,3,4,4,2,4,1,3,3,4,2,4,2,3,4,"Female","Faculty of Science","Commerce and finance","2nd year","Yes","Vigorous PA"
50.48,116.512,93.859,27,4,1,2,2,4,4,3,3,4,3,2,1,3,1,4,4,1,2,"Male","Faculty of Health Sciences","Physics","1st year","Yes","Light PA"
10.855,307.141,166.622,29,4,5,2,4,2,4,5,3,4,1,3,3,1,2,1,4,3,2,"Female","Faculty of Social Sciences","Bachelor of Science in Chemistry","2nd year","Yes","Moderate PA"
11.329,108.619,1029.553,24,3,3,5,2,4,4,3,1,3,4,2,2,4,2,3,4,1,3,"Male","Faculty of Arts","Biomedical science","2nd year","Yes","Light PA"
2.796,160.739,15.331,20,4,3,3,2,4,2,5,2,3,1,3,4,4,2,5,2,2,4,"Female","Faculty of Social Sciences","Psychology","2nd year","No","Inactive"
7.444,34.901,91.185,18,4,5,4,3,4,4,2,3,4,1,3,3,3,2,4,4,4,4,"Male","Telfer School of Management","biomedical science","1st year","Yes","Moderate PA"
18.248,172.972,91.185,24,5,4,2,4,4,2,4,2,4,3,4,4,1,2,4,2,3,3,"Female","Faculty of Social Sciences","Business and management","3rd year","Yes","Vigorous PA"
11.318,68.263,57.494,20,2,4,4,1,3,2,5,2,2,2,3,4,4,3,2,4,2,4,"Female","Faculty of Social Sciences","Health Sciences","1st year","Yes","Light PA"
3.983,77.295,55.624,23,2,4,4,1,3,4,3,3,4,4,4,3,3,2,4,4,2,2,"Male","Faculty of Health Sciences","Biomedical","1st year","Yes","Light PA"
13.528,3006.683,95.832,20,3,5,5,1,3,3,4,4,3,2,3,2,4,3,4,3,1,4,"Male","Telfer School of Management","Nursing","2nd year","No","Light PA"
10.029,91.231,59.05,19,3,5,4,1,5,1,3,2,2,3,1,3,4,1,3,2,3,2,"Female","Faculty of Science","Nursing","1st year","Yes","Moderate PA"
1.964,70.675,102.277,18,4,2,4,3,5,2,4,1,4,2,4,2,5,3,3,3,2,4,"Female","Faculty of Science","Psychology","2nd year","No","Moderate PA"
12.519,96.629,46.883,23,3,1,5,4,4,2,2,4,2,2,3,1,4,2,4,2,1,2,"Female","Faculty of Science","Psychology","2nd year","Yes","Moderate PA"
449.603,78.608,56.551,18,4,4,4,2,4,3,5,5,4,1,3,3,2,1,3,4,1,4,"Female","Faculty of Social Sciences","biopharmaceutical science","1st year","Yes","Moderate PA"
391.603,821.802,27.564,21,3,2,4,3,4,5,4,1,4,4,5,2,2,1,1,3,3,2,"Female","Telfer School of Management","Finance Commerce","1st year","Yes","Light PA"
193.416,144.953,10.9,32,4,4,2,2,5,4,3,4,4,2,3,4,4,1,4,3,1,4,"Female","Faculty of Social Sciences","Nursing","1st year","Yes","Inactive"
329.485,77.373,1829.411,22,4,2,3,1,3,3,5,3,2,2,1,4,3,2,3,2,2,3,"Female","Telfer School of Management","Health Sciences","3rd year","Yes","Moderate PA"
1.131,63.924,20.39,19,5,2,3,1,4,3,1,2,3,5,3,3,5,3,4,1,2,4,"Female","Telfer School of Management","Nursing","2nd year","No","Moderate PA"
4.72,116.512,75.069,19,3,2,2,1,4,3,3,4,4,3,1,4,4,2,3,3,2,4,"Female","Faculty of Health Sciences","Health Science","2nd year","Yes","Vigorous PA"
10.979,89.467,133.002,20,4,1,4,2,4,3,2,2,3,1,2,4,4,2,4,3,1,4,"Female","Faculty of Social Sciences","Linguistics","2nd year","Yes","Moderate PA"
