"TimerPES_First.Click","TimerPES_Last.Click","TimerPES_Page.Submit","TimerPES_Click.Count","PES_1","PES_2","PES_3","PES_4","PES_5","PES_6","PES_7","PES_8","PES_9","PES_10","PES_11","PES_12","PES_13","PES_14","PES_15","PES_16","PES_17","PES_18","Gender","Faculty","Program","Year.Program","First.Semester","PA_profile"
12.696,79.906,81.719,22,4,2,4,1,4,1,4,1,4,1,4,2,4,1,1,4,1,4,"Female","Telfer School of Management","Finance","1st year","Yes","Moderate PA"
82.806,174.084,180.84,18,3,2,4,2,4,2,4,2,4,2,3,2,4,2,4,4,2,4,"Male","Faculty of Arts","English","1st year","Yes","Light PA"
14.093,83.314,84.541,19,4,1,4,1,5,1,5,1,4,1,5,1,5,1,5,2,1,5,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Vigorous PA"
13.495,130.879,132.432,22,2,4,2,4,2,2,2,4,2,4,2,4,2,4,2,5,4,2,"Male","Faculty of Health Sciences","Health Sciences","1st year","Yes","Inactive"
9.882,59.321,59.989,18,2,3,4,3,4,1,3,2,3,1,2,1,1,2,4,3,2,4,"Female","Faculty of Health Sciences","Health Sciences","1st year","Yes","Moderate PA"
8.04,30.59,31.451,18,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,"Female","Faculty of Social Sciences","economics","1st year","Yes","Inactive"
0.911,13.649,14.168,22,2,3,3,4,2,2,3,3,4,3,2,3,4,3,3,3,3,3,"Male","Telfer School of Management","Finance","2nd year","No","Inactive"
2.044,15.525,16.278,19,4,3,2,3,3,3,3,3,4,4,4,4,4,4,3,2,2,3,"Female","Faculty of Science","Biomedical Science","2nd year","No","Light PA"
29.583,149.348,150.137,19,4,3,5,4,5,2,5,3,4,1,4,2,4,2,5,5,2,5,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
4.869,50.127,50.857,21,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,2,1,5,"Male","Telfer School of Management","Management","2nd year","No","Moderate PA"
9.586,54.936,55.624,21,4,2,5,2,5,2,4,2,5,2,5,1,5,1,5,5,1,5,"Female","Faculty of Social Sciences","Psychology and Linguistics","1st year","Yes","Moderate PA"
7.851,73.612,74.203,23,2,2,3,2,3,2,3,2,3,4,2,4,2,2,3,3,2,3,"Male","Telfer School of Management","Management","2nd year","No","Moderate PA"
9.003,87.595,88.693,27,5,2,5,2,5,2,4,2,4,1,4,2,4,2,5,4,2,4,"Female","Faculty of Health Sciences","Health Sciences","1st year","Yes","Moderate PA"
6.509,68.249,69.006,20,2,4,3,4,3,3,3,4,2,3,2,4,2,5,3,4,3,3,"Female","Faculty of Social Sciences","social sciences","1st year","Yes","Inactive"
9.223,107.681,147.554,22,3,2,4,2,3,2,3,2,3,2,2,3,2,2,3,4,2,3,"Female","Faculty of Science","Biochemistry","3rd year","No","Inactive"
0.669,15.942,16.378,20,2,1,2,3,2,3,4,3,5,3,2,2,4,4,3,3,3,4,"Male","Telfer School of Management","acounting","2nd year","No","Vigorous PA"
18.074,85.155,85.907,22,5,2,4,1,4,2,4,1,4,1,4,1,4,1,5,3,1,5,"Male","Faculty of Health Sciences","human kinetics","1st year","Yes","Vigorous PA"
12.248,88.364,89.165,24,3,3,4,2,4,2,3,2,3,2,2,3,4,2,3,2,2,3,"Female","Faculty of Social Sciences","crim","1st year","Yes","Moderate PA"
5.572,51.936,52.738,19,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,1,4,"Female","Faculty of Health Sciences","BScN","1st year","Yes","Moderate PA"
16.727,122.225,123.567,19,4,1,4,1,5,1,4,1,3,1,3,1,4,1,4,1,1,4,"Male","Telfer School of Management","Finance Commerce","1st year","Yes","Vigorous PA"
47.978,156.793,157.436,18,4,2,4,2,4,2,4,2,4,2,3,2,4,2,4,4,2,4,"Female","Telfer School of Management","Accounting","1st year","Yes","Moderate PA"
21.708,132.839,133.525,26,3,3,4,2,4,3,3,3,3,2,3,2,3,3,4,3,3,3,"Male","Faculty of Social Sciences","Political Science","2nd year","No","Light PA"
39.301,341.046,349.143,38,3,1,3,1,3,1,3,1,3,1,1,1,3,1,3,2,2,3,"Female","Faculty of Science","Biomedical science","1st year","Yes","Light PA"
9.666,54.615,55.339,19,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,4,1,4,"Female","Faculty of Health Sciences","Human Kinetics","2nd year","No","Vigorous PA"
11.818,58.792,60.102,20,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,3,2,4,"Male","Faculty of Egineering","BASc Computer Engineering, Engineering Management and Entrepreneurship Option","5th year","No","Moderate PA"
5.392,73.242,74.628,19,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,3,2,4,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
40.558,123.389,123.811,19,4,2,4,2,4,2,4,2,3,2,3,2,4,2,4,4,2,4,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Light PA"
20.789,76.126,78.129,20,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,4,"Male","Faculty of Egineering","Software Engineering","5th year","No","Moderate PA"
12.065,73.057,73.782,18,5,1,5,1,5,1,5,1,4,1,5,1,5,1,5,1,1,5,"Female","Faculty of Social Sciences","Economics","4th year","No","Vigorous PA"
10.008,129.017,130.001,20,3,3,3,3,2,3,3,2,3,2,3,3,3,2,4,3,2,3,"Female","Faculty of Health Sciences","Health Science","1st year","Yes","Inactive"
1.048,10.104,10.9,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Female","Faculty of Health Sciences","n ,m","3rd year","No","Moderate PA"
6.581,133.719,134.959,19,2,2,4,2,4,2,3,2,3,2,3,2,3,2,4,3,2,4,"Male","Faculty of Egineering","Software Engineering","3rd year","No","Light PA"
22.202,110.133,112.001,21,4,2,5,1,5,1,4,2,4,1,4,1,4,1,4,2,1,5,"Male","Faculty of Science","Biomedical Sciences","1st year","Yes","Moderate PA"
9.223,107.681,147.554,22,3,2,4,2,3,2,3,2,3,2,2,3,2,2,3,4,2,3,"Female","Faculty of Science","Biochemistry","3rd year","No","Inactive"
0.501,255.579,256.539,67,3,2,4,2,3,2,3,2,4,3,3,2,3,2,4,3,2,3,"Male","Faculty of Science","Biomedical science","1st year","No","Light PA"
22.331,102.554,103.8,22,2,4,3,3,4,2,2,4,2,4,2,4,2,4,2,2,4,2,"Female","Faculty of Science","Biomedical sciences","2nd year","No","Light PA"
28.271,152.851,153.851,29,3,2,3,3,3,4,3,3,3,2,3,2,3,2,3,4,4,2,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Light PA"
19.942,207.847,208.868,45,2,3,2,4,3,3,2,4,2,3,2,4,2,3,2,4,4,3,"Female","Faculty of Health Sciences","Health Sciences","1st year","Yes","Inactive"
17.668,118.148,120.371,28,3,3,4,3,3,3,3,3,3,2,3,3,2,2,4,3,2,4,"Female","Faculty of Science","Biomedical science","1st year","Yes","Moderate PA"
7.759,68.517,69.671,20,4,2,5,2,4,2,4,2,4,2,4,1,4,1,5,2,1,1,"Female","Faculty of Health Sciences","human kinetics","4th year","No","Vigorous PA"
19.496,174.827,175.514,20,2,2,3,2,4,2,4,1,3,2,2,2,3,2,4,5,1,5,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
4.559,89.703,91.182,19,4,1,5,1,4,1,5,1,5,1,1,1,5,1,5,5,1,5,"Male","Telfer School of Management","Finance","2nd year","No","Vigorous PA"
0.911,13.649,14.168,22,2,3,3,4,2,2,3,3,4,3,2,3,4,3,3,3,3,3,"Male","Telfer School of Management","Finance","2nd year","No","Inactive"
11.562,131.214,132.276,23,2,4,4,3,3,4,2,4,2,3,1,4,1,4,4,2,2,2,"Female","Faculty of Science","Biochemistry","4th year","No","Moderate PA"
9.217,67.431,68.518,19,4,3,4,2,4,2,4,2,4,2,3,2,4,2,4,4,2,4,"Female","Faculty of Arts","Psychology and Linguistics","1st year","Yes","Moderate PA"
18.971,173.666,176.801,20,5,1,4,1,5,2,4,2,4,2,4,2,4,2,4,3,2,4,"Male","Faculty of Science","Biology","3rd year","No","Vigorous PA"
6.007,84.257,84.989,22,5,1,5,1,5,1,4,1,5,1,4,1,2,1,5,3,1,5,"Female","Faculty of Health Sciences","HK","1st year","Yes","Moderate PA"
9.364,64.074,67.127,20,5,1,5,1,5,1,5,1,4,1,4,1,4,1,5,1,1,5,"Female","Faculty of Health Sciences","Honours BSc in Biomedical Science","2nd year","No","Moderate PA"
6.992,540.196,542.252,36,2,3,4,4,4,4,2,4,2,1,4,4,2,4,4,4,2,4,"Female","Faculty of Science","Biomedical Science","2nd year","Yes","Light PA"
4.426,30.202,31.575,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Female","Faculty of Social Sciences","psychology","3rd year","No","Vigorous PA"
2.075,11.5,15.331,18,3,2,2,2,2,2,3,2,3,1,3,1,3,3,3,2,2,2,"Male","Telfer School of Management","Bcom management","3rd year","Yes","Inactive"
9.003,87.595,88.693,27,5,2,5,2,5,2,4,2,4,1,4,2,4,2,5,4,2,4,"Female","Faculty of Health Sciences","Health Sciences","1st year","Yes","Moderate PA"
394.503,1025.755,1029.553,20,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Male","Faculty of Science","Biomed","1st year","Yes","Inactive"
22.541,144.953,148.11,20,4,1,4,1,4,1,4,1,3,2,3,2,4,1,4,2,2,4,"Female","Faculty of Science","Biochemistry","4th year","No","Moderate PA"
4.657,99.787,101.841,29,4,1,5,1,5,1,5,2,3,1,3,1,4,2,5,4,1,5,"Female","Faculty of Science","biomedical science","2nd year","Yes","Light PA"
8.76,70.675,71.498,18,2,4,2,4,3,4,2,4,2,3,2,3,2,4,2,2,4,2,"Female","Faculty of Science","Biomed","1st year","Yes","Light PA"
6.621,63.126,64.878,18,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,5,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
2.615,149.424,149.831,24,4,2,3,2,4,2,3,2,3,2,3,3,3,3,3,5,2,4,"These options do not apply to me. I identify as (please specify):","Faculty of Egineering","Computer Science","2nd year","No","Light PA"
13.035,100.936,101.827,19,4,2,4,2,4,2,4,2,3,1,4,2,4,2,4,3,2,4,"Male","Telfer School of Management","Finance","2nd year","No","Moderate PA"
6.552,77.634,78.843,24,4,3,3,2,4,2,1,2,3,1,1,1,4,1,4,4,1,4,"Female","Faculty of Social Sciences","Bsc Psychology","4th year","No","Moderate PA"
42.861,842.157,843.5,21,2,4,4,4,4,4,3,4,2,1,2,3,1,4,3,4,3,2,"Female","Faculty of Arts","Joint honours psychology and linguistics","1st year","Yes","Inactive"
13.148,78.129,78.985,19,4,2,4,3,4,2,4,2,4,1,4,2,4,2,4,3,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Vigorous PA"
36.756,139.924,139.938,73,3,3,4,3,3,2,4,3,3,3,4,4,3,3,3,3,3,4,"Male","Faculty of Science","Biomedical","1st year","Yes","Inactive"
22.986,125.19,126.388,27,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,4,2,4,"Male","Faculty of Arts","Communications","3rd year","No","Light PA"
19.563,82.66,83.751,18,4,2,4,3,4,2,4,2,3,2,1,3,1,3,4,4,3,4,"Female","Faculty of Arts","Psychology and Linguistics","1st year","Yes","Moderate PA"
0.838,57.329,57.883,34,4,4,4,2,4,2,4,2,2,2,2,1,4,1,4,1,4,4,"Female","Faculty of Science","Biomedical Science","2nd year","No","Moderate PA"
0.812,12.172,12.736,21,5,4,4,4,3,3,4,4,4,5,5,4,3,3,3,4,4,5,"Male","Telfer School of Management","Commerce","2nd year","No","Light PA"
37.37,138.379,139.298,24,2,2,4,2,5,2,4,2,4,1,3,2,4,1,4,2,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Light PA"
0.43,104.32,106.834,31,1,5,1,5,4,4,1,5,1,1,1,5,1,5,1,5,5,1,"Female","Faculty of Health Sciences","Health Sciences","1st year","Yes","Light PA"
19.052,120.89,121.758,22,3,4,3,4,3,4,2,2,2,3,4,3,2,3,3,5,4,2,"Female","Faculty of Social Sciences","Bsc psychology","1st year","Yes","Inactive"
342.236,410.091,410.81,18,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,5,1,5,"Female","Faculty of Health Sciences","Human Kinetics","1st year","Yes","Vigorous PA"
8.103,83.771,85.67,23,2,4,2,4,2,4,3,4,2,3,2,3,2,2,2,4,4,2,"Female","Faculty of Social Sciences","Bachelor of Arts in Psychology","1st year","Yes","Light PA"
11.177,118.342,119.398,22,4,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,4,"Male","Telfer School of Management","Marketing","2nd year","No","Vigorous PA"
8.941,65.496,68.756,18,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,3,4,1,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Inactive"
5.939,481.628,483.032,19,2,4,3,4,3,4,2,4,4,3,3,3,3,3,3,2,3,2,"Female","Faculty of Science","Biochemistry","3rd year","No","Light PA"
10.655,77.195,77.723,19,4,2,4,2,4,2,5,2,4,1,4,2,4,2,4,4,2,4,"Male","Faculty of Health Sciences","Health Sciences","1st year","Yes","Moderate PA"
13.339,79.231,80.968,20,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,4,2,"Female","Telfer School of Management","Commerce/Accounting","2nd year","No","Light PA"
3.024,125.895,127.196,34,5,2,4,2,4,3,4,2,1,3,3,1,5,1,4,2,1,4,"Male","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
11.922,60.614,62.517,24,4,2,4,2,4,2,4,2,4,2,3,1,4,1,4,3,1,4,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Light PA"
41.92,97.674,100.916,19,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,4,2,"Female","Faculty of Science","BioMed","1st year","Yes","Light PA"
18.208,117.223,120.437,21,4,4,3,4,3,2,3,4,2,3,2,4,2,3,4,4,2,4,"Female","Faculty of Science","Biomed","1st year","Yes","Light PA"
9.025,150.132,151.642,19,3,2,4,3,4,3,4,3,3,3,4,3,4,2,4,3,2,4,"Female","Telfer School of Management","marketing","2nd year","No","Light PA"
18.767,143.559,144.755,23,3,2,4,3,4,2,3,2,3,2,4,2,3,2,5,3,1,4,"Female","Faculty of Social Sciences","public administration and political science","1st year","Yes","Light PA"
6.581,133.719,134.959,19,2,2,4,2,4,2,3,2,3,2,3,2,3,2,4,3,2,4,"Male","Faculty of Egineering","Software Engineering","3rd year","No","Light PA"
0.819,105.804,106.593,43,4,3,3,2,2,2,2,1,3,2,1,3,4,1,4,2,1,3,"Female","Faculty of Science","Nursing","1st year","Yes","Inactive"
1.495,24.895,25.883,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Female","Faculty of Health Sciences","health science","1st year","Yes","Inactive"
5.29,71.215,71.788,21,4,1,4,1,5,1,4,1,3,1,4,1,4,1,5,1,1,4,"Male","Faculty of Science","Computer Science","4th year","No","Moderate PA"
30.148,369.308,370.501,21,2,4,2,3,2,4,2,2,2,4,2,4,2,2,2,4,2,2,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Inactive"
8.386,108.702,109.611,24,4,2,3,2,4,2,3,2,3,3,2,3,3,2,3,4,3,4,"Female","Faculty of Arts","communications","1st year","Yes","Light PA"
14.56,74.008,74.768,21,3,2,5,2,5,1,5,1,4,1,4,1,4,1,5,3,1,5,"Male","Telfer School of Management","Bcomm with an option in finance","2nd year","No","Vigorous PA"
4.456,178.495,178.858,25,2,3,2,3,3,4,2,4,2,2,2,3,2,4,3,2,3,2,"Female","Telfer School of Management","Finance","2nd year","No","Moderate PA"
28.262,143.15,144.307,19,2,2,3,2,3,2,3,2,4,1,3,1,3,1,3,2,1,4,"Female","Faculty of Social Sciences","sociology and communications","2nd year","No","Light PA"
36.756,139.924,139.938,73,3,3,4,3,3,2,4,3,3,3,4,4,3,3,3,3,3,4,"Male","Faculty of Science","Biomedical","1st year","Yes","Inactive"
136.74,305.65,315.685,20,2,2,4,2,4,2,2,3,2,2,2,3,2,2,3,2,2,2,"Male","Faculty of Social Sciences","Economics","1st year","Yes","Light PA"
99.754,205.093,205.948,25,2,3,2,2,2,4,2,4,2,3,2,4,3,3,2,4,4,3,"Female","Faculty of Social Sciences","BSC in Psychology (french immersion stream)","1st year","Yes","Inactive"
30.304,237.158,239.249,33,4,2,3,2,4,1,5,5,3,2,3,2,3,2,3,4,2,4,"Female","Faculty of Social Sciences","bsc psychology","1st year","Yes","Moderate PA"
7.03,109.724,111.542,21,3,2,4,2,4,2,4,1,4,1,4,2,3,2,4,3,2,4,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Light PA"
293.182,357.113,358.119,19,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,4,3,"Female","Faculty of Arts","Joint Honours BA in Psychology and Linguistics","1st year","Yes","Light PA"
43.029,172.247,173.759,21,3,5,1,1,1,5,1,4,2,5,1,4,2,2,2,2,4,4,"Female","Faculty of Arts","Communications","1st year","Yes","Light PA"
5.706,66.016,67.001,18,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,3,2,4,"Female","Faculty of Health Sciences","Interdisciplinary Health Sciences","1st year","Yes","Light PA"
6.531,62.226,63.1,19,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,3,1,5,"Female","Faculty of Social Sciences","Joint Honours in Public Administration and Political Science","1st year","Yes","Vigorous PA"
26.684,173.194,174.152,22,4,1,4,1,5,1,4,1,3,1,3,1,3,1,4,2,1,4,"Female","Faculty of Arts","Second Language Teaching","2nd year","No","Moderate PA"
9.217,67.431,68.518,19,4,3,4,2,4,2,4,2,4,2,3,2,4,2,4,4,2,4,"Female","Faculty of Arts","Psychology and Linguistics","1st year","Yes","Moderate PA"
11.329,150.221,161.148,27,2,3,2,4,4,2,3,4,4,2,3,3,3,3,4,3,3,2,"Female","Telfer School of Management","finance","2nd year","Yes","Inactive"
5.228,87.078,87.525,20,4,2,4,2,4,2,3,2,3,1,2,3,2,2,4,2,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Light PA"
3.024,125.895,127.196,34,5,2,4,2,4,3,4,2,1,3,3,1,5,1,4,2,1,4,"Male","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
10.061,159.672,160.547,20,5,1,5,2,5,5,5,2,5,2,2,1,5,1,5,5,1,5,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Vigorous PA"
19.563,82.66,83.751,18,4,2,4,3,4,2,4,2,3,2,1,3,1,3,4,4,3,4,"Female","Faculty of Arts","Psychology and Linguistics","1st year","Yes","Moderate PA"
17.043,156.489,157.722,25,2,4,3,4,4,4,2,4,2,2,2,3,2,3,2,4,4,2,"Female","Telfer School of Management","Bachelor of Commerce","2nd year","No","Inactive"
9.178,113.685,114.697,19,4,2,4,2,3,2,4,2,4,2,4,2,4,2,4,3,2,4,"Female","Telfer School of Management","Commerce- Management","2nd year","No","Moderate PA"
2138.886,3006.683,3008.147,19,4,2,3,3,4,2,3,4,3,2,3,3,3,3,3,3,3,3,"Female","Faculty of Health Sciences","nursing","1st year","Yes","Inactive"
10.08,100.518,103.307,19,3,2,3,2,3,2,2,3,2,2,3,3,3,2,2,2,4,3,"Female","Telfer School of Management","Commerce","2nd year","No","Light PA"
6.596,99.379,100.125,20,2,3,4,2,4,2,4,2,3,2,2,2,3,2,4,3,2,4,"Female","Faculty of Arts","English Literature","1st year","Yes","Light PA"
0.685,8.983,9.365,34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Male","Faculty of Egineering","Computer Science","2nd year","Yes","Inactive"
60.054,115.845,116.524,20,3,4,2,2,3,4,2,4,2,3,1,4,2,3,4,3,4,4,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Light PA"
6.243,93.354,99.171,23,2,4,1,3,1,4,1,3,1,5,1,5,2,1,1,5,5,1,"Female","Telfer School of Management","finance","2nd year","No","Inactive"
18.406,103.31,104.423,23,4,3,2,4,3,2,3,3,3,4,4,2,4,2,3,4,4,2,"Female","Faculty of Social Sciences","psychology and linguistics","1st year","Yes","Light PA"
3.895,54.004,55.27,27,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,"Female","Faculty of Social Sciences","BA Psychology","1st year","Yes","Light PA"
1.785,117.551,118.161,37,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,4,2,4,"Male","Faculty of Egineering","Computer Science","5th year","No","Moderate PA"
4.426,30.202,31.575,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Female","Faculty of Social Sciences","psychology","3rd year","No","Vigorous PA"
17.471,116.012,117.513,25,2,2,4,2,3,2,3,2,3,3,2,2,2,2,4,4,2,4,"Male","Telfer School of Management","Accounting","2nd year","No","Light PA"
18.801,159.253,163.363,21,3,4,2,4,4,4,2,4,1,1,1,4,1,2,4,4,3,3,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Light PA"
11.724,71.817,72.151,25,3,3,4,2,4,2,4,2,4,1,3,1,3,1,4,2,1,4,"Male","Faculty of Health Sciences","Honours Bachelors of Health Sciences","1st year","Yes","Moderate PA"
7.658,76.774,80.251,29,4,3,3,3,4,2,3,2,2,2,1,3,2,2,2,2,2,2,"Female","Telfer School of Management","Human Resource Management","2nd year","No","Light PA"
48.67,102.385,103.031,25,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,5,"Male","Faculty of Social Sciences","Criminology","3rd year","No","Vigorous PA"
24.626,164.445,165.781,21,1,4,3,4,2,4,2,4,2,3,2,4,2,3,3,5,3,4,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Inactive"
2.615,149.424,149.831,24,4,2,3,2,4,2,3,2,3,2,3,3,3,3,3,5,2,4,"These options do not apply to me. I identify as (please specify):","Faculty of Egineering","Computer Science","2nd year","No","Light PA"
13.528,86.288,88.939,23,3,4,2,4,2,2,3,2,2,2,2,4,4,2,2,4,2,4,"Female","Faculty of Social Sciences","Psychology and Linguistics","1st year","Yes","Moderate PA"
8.277,68.535,81.662,19,4,2,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,5,"Male","Faculty of Social Sciences","Science of physical activity","3rd year","No","Moderate PA"
13.035,100.936,101.827,19,4,2,4,2,4,2,4,2,3,1,4,2,4,2,4,3,2,4,"Male","Telfer School of Management","Finance","2nd year","No","Moderate PA"
16.973,95.278,96.747,24,5,1,5,1,5,1,4,1,5,1,4,1,5,1,5,5,1,5,"Female","Faculty of Science","biomedical science","2nd year","No","Moderate PA"
10.061,159.672,160.547,20,5,1,5,2,5,5,5,2,5,2,2,1,5,1,5,5,1,5,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Vigorous PA"
6.531,62.226,63.1,19,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,3,1,5,"Female","Faculty of Social Sciences","Joint Honours in Public Administration and Political Science","1st year","Yes","Vigorous PA"
10.97,96.859,97.925,23,4,2,4,2,2,2,3,2,3,4,2,4,4,2,4,4,2,4,"Female","Faculty of Science","Biomedical Sciences","1st year","Yes","Light PA"
33.446,134.163,134.968,26,4,2,3,2,4,2,3,2,2,3,3,2,2,2,3,4,2,4,"Male","Telfer School of Management","Accounting","2nd year","No","Moderate PA"
6.142,68.104,70.629,18,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,5,"Male","Telfer School of Management","Finance","2nd year","No","Moderate PA"
116.843,300.515,303.849,25,2,4,2,4,2,4,1,4,2,3,3,4,1,4,1,4,4,2,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Light PA"
7.444,230.598,230.929,34,3,3,2,2,4,2,2,2,2,3,3,3,2,1,3,4,2,3,"Female","Telfer School of Management","Management","2nd year","No","Inactive"
12.237,27.457,27.741,22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Male","Faculty of Social Sciences","economic","3rd year","No","Light PA"
6.621,63.126,64.878,18,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,5,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
15.849,116.512,118.247,19,2,4,2,4,3,4,2,4,2,2,2,4,2,4,2,4,4,2,"Male","Faculty of Arts","FLS","2nd year","No","Light PA"
1.149,12.405,13.18,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Male","Faculty of Science","Science","1st year","Yes","Moderate PA"
28.271,152.851,153.851,29,3,2,3,3,3,4,3,3,3,2,3,2,3,2,3,4,4,2,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Light PA"
50.48,130.079,130.717,28,4,2,3,2,3,2,2,2,3,3,2,3,2,3,3,4,2,3,"Male","Faculty of Science","Biomedical Science","1st year","Yes","Light PA"
10.855,160.739,162.813,24,4,5,1,5,5,1,5,1,5,1,5,2,5,1,5,5,1,5,"Male","Faculty of Social Sciences","psychology / philosophy","1st year","Yes","Moderate PA"
11.329,150.221,161.148,27,2,3,2,4,4,2,3,4,4,2,3,3,3,3,4,3,3,2,"Female","Telfer School of Management","finance","2nd year","Yes","Inactive"
2.796,61.986,62.877,51,4,2,5,2,5,2,5,2,4,2,4,1,4,2,4,3,1,5,"Female","Faculty of Science","Nursing","1st year","Yes","Vigorous PA"
7.444,230.598,230.929,34,3,3,2,2,4,2,2,2,2,3,3,3,2,1,3,4,2,3,"Female","Telfer School of Management","Management","2nd year","No","Inactive"
18.248,62.372,62.997,22,3,4,3,4,2,4,3,3,4,4,2,4,3,4,4,3,4,4,"Female","Faculty of Science","Biomedical Science","3rd year","No","Light PA"
11.318,112.461,113.36,20,2,3,2,4,5,5,4,5,2,1,1,3,1,4,3,4,5,3,"Male","Faculty of Social Sciences","Psychology B.Sc.","1st year","Yes","Inactive"
3.983,69.39,69.72,23,4,2,4,2,4,2,4,2,4,2,3,3,3,3,5,1,1,5,"Male","Faculty of Science","General Science","2nd year","No","Moderate PA"
13.528,86.288,88.939,23,3,4,2,4,2,2,3,2,2,2,2,4,4,2,2,4,2,4,"Female","Faculty of Social Sciences","Psychology and Linguistics","1st year","Yes","Moderate PA"
10.029,66.748,67.627,19,2,3,2,2,2,3,1,2,1,4,2,4,2,4,5,2,3,2,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Inactive"
1.964,74.201,75.069,26,4,3,2,1,4,2,3,2,4,1,1,2,4,2,4,5,2,4,"Female","Faculty of Social Sciences","Honours BA in Psychology","1st year","Yes","Moderate PA"
12.519,70.264,72.418,20,4,2,5,2,4,1,4,2,3,1,3,1,4,1,4,2,1,5,"Male","Faculty of Health Sciences","Honours Bachelors of Health Sciences","1st year","Yes","Moderate PA"
449.603,1012.8,1013.663,20,4,1,4,1,5,1,5,1,4,1,4,1,4,1,4,4,1,5,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
391.603,495.654,496.768,22,2,4,2,4,2,2,3,2,2,4,3,4,3,2,3,4,4,3,"Female","Faculty of Social Sciences","BA in Psychology in French Immersion","1st year","Yes","Light PA"
193.416,259.508,260.446,21,4,3,4,3,4,2,3,2,3,2,2,3,3,3,3,3,3,3,"Female","Faculty of Health Sciences","Health Sci","1st year","Yes","Moderate PA"
329.485,415.484,417.001,23,1,5,3,4,4,4,2,4,2,1,1,2,2,4,2,4,4,2,"Female","Faculty of Social Sciences","BA psychology","1st year","Yes","Inactive"
1.131,74.301,75.001,27,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,"Female","Faculty of Social Sciences","joint honors in psychology and linguistics","1st year","Yes","Inactive"
